id,gender,dateofbirth,education,department,salary,starting_salary,job_time,previous_experience,minority
44,Male,15-06-1963,18,Sales,29250,14250,7.92,4.17,No
45,Male,02-08-1938,12,Marketing,30750,13500,7.92,25.58,No
46,Female,18-11-1940,15,IT,22350,12750,7.92,13.75,No
47,Female,28-04-1938,12,IT,30000,16500,7.92,19,No
48,Male,07-06-1947,12,IT,30750,14100,7.83,20,No
49,Male,16-09-1958,15,Engineering,34800,16500,7.83,7.75,No
50,Male,09-02-1960,16,Engineering,60000,23730,7.83,4.92,No
51,Male,08-07-1962,12,Human Resources,35550,15000,7.83,4,No
52,Male,12-11-1963,15,Marketing,45150,15000,7.83,3.33,No
53,Male,21-04-1954,18,IT,73750,26250,7.83,4.67,No
54,Male,04-06-1931,12,Marketing,25050,13500,7.83,37,No
55,Male,25-06-1960,12,Accounting,27000,15000,7.83,10,No
56,Male,16-04-1962,15,Engineering,26850,13500,7.83,0.42,No
57,Male,15-04-1963,15,Engineering,33900,15750,7.83,6.5,No
58,Female,14-11-1964,15,Engineering,26400,13500,7.83,0.25,No
59,Male,07-05-1961,15,Human Resources,28050,14250,7.83,3,Yes
60,Male,16-02-1959,12,Marketing,30900,15000,7.83,8.5,Yes
61,Male,28-04-1964,18,IT,22500,9750,7.83,3,Yes
62,Male,18-07-1962,16,Accounting,48000,21750,7.75,1.83,No
63,Male,20-08-1961,17,Engineering,55000,26250,7.75,2.67,No
64,Male,28-09-1963,16,Human Resources,53125,21000,7.75,4,No
65,Male,28-03-1964,18,Finance,21900,14550,7.75,3.42,No
66,Male,16-02-1962,19,Sales,78125,30000,7.75,0.58,No
67,Male,28-05-1964,16,Human Resources,46000,21240,7.75,2.92,No
68,Male,05-05-1963,16,Marketing,45250,21480,7.75,3,No
69,Male,23-06-1960,16,IT,56550,25000,7.75,2.83,No
70,Male,08-02-1962,15,IT,41100,20250,7.75,2.25,No
71,Male,26-08-1948,17,Engineering,82500,34980,7.75,17.25,No
72,Female,07-01-1964,16,Finance,54000,18000,7.75,0.92,No
73,Female,09-02-1968,12,Accounting,26400,10500,7.75,,No
74,Female,28-04-1933,15,Engineering,33900,19500,7.75,16,No
75,Female,12-08-1965,15,Marketing,24150,11550,7.75,,No
76,Female,03-09-1967,15,IT,29250,11550,7.75,0.92,No
77,Female,09-09-1968,12,Engineering,27600,11400,7.75,0.5,No
78,Female,20-08-1968,12,IT,22950,10500,7.75,0.83,No
79,Female,23-01-1962,16,Finance,34800,14550,7.75,0.67,No
80,Female,25-05-1961,16,Finance,51000,18000,7.75,1.83,No
81,Female,12-03-1968,12,Marketing,24300,10950,7.75,0.42,No
82,Female,28-08-1947,12,Engineering,24750,14250,7.75,16.08,Yes
83,Female,12-10-1967,12,Engineering,22950,11250,7.75,,Yes
84,Female,12-03-1967,18,Engineering,25050,10950,7.75,0.67,Yes
85,Male,09-04-1962,15,Accounting,25950,17100,7.67,3.5,No
86,Male,25-08-1961,15,Human Resources,31650,15750,7.67,5.33,No
87,Male,20-10-1959,12,Human Resources,24150,14100,7.67,10.83,No
88,Male,10-02-1962,19,IT,72500,28740,7.67,0.83,No
89,Male,24-06-1961,19,IT,68750,27480,7.67,0.67,No
90,Female,27-02-1938,18,IT,16200,9750,7.67,,No
91,Female,04-11-1967,12,Marketing,20100,11250,7.67,2,No
92,Female,25-06-1968,18,Finance,24000,10950,7.67,0.5,No
93,Female,05-03-1968,12,Finance,25950,10950,7.67,,No
94,Female,04-08-1950,12,Sales,24600,10050,7.67,3.67,No
95,Female,08-08-1968,12,Human Resources,28500,10500,7.67,0.5,No
96,Male,02-10-1933,18,Sales,30750,15000,7.67,36,Yes
97,Male,18-01-1953,17,Finance,40200,19500,7.67,14,Yes
98,Male,17-05-1956,18,IT,30000,15000,7.67,12,Yes
99,Female,07-07-1968,12,IT,22050,10950,7.67,0.42,Yes
100,Male,25-10-1963,18,Sales,78250,27480,7.58,3.92,No
101,Male,14-03-1960,16,Engineering,60625,22500,7.58,3.67,No
102,Male,28-03-1963,14,IT,39900,15750,7.58,4.92,No
103,Male,17-03-1959,19,Engineering,97000,35010,7.58,5.67,No
104,Male,05-11-1962,15,Human Resources,27450,15750,7.58,4,No
105,Male,07-03-1966,15,Accounting,31650,13500,7.58,1.5,No
106,Male,04-08-1962,19,Finance,91250,29490,7.58,1.92,No
107,Female,16-08-1960,12,Engineering,25200,14400,7.58,6.92,No
108,Female,16-07-1930,12,Engineering,21000,11550,7.58,9,No
109,Male,10-11-1963,12,Engineering,30450,15000,7.58,4.08,Yes
110,Male,29-10-1952,15,Finance,28350,18000,7.58,12.58,Yes
111,Male,27-11-1940,12,Sales,30750,9000,7.58,26.17,Yes
112,Male,21-06-1948,12,IT,30750,15000,7.58,20,Yes
113,Male,06-10-1959,16,IT,54875,27480,7.5,5.67,No
114,Male,25-08-1961,14,Sales,37800,16500,7.5,5,No
115,Male,12-05-1961,15,Sales,33450,14100,7.5,7.08,No
116,Male,09-06-1962,15,Human Resources,30300,16500,7.5,1.33,No
117,Female,14-01-1932,12,IT,31500,18750,7.5,17.08,No
118,Female,04-03-1964,12,Finance,31650,14250,7.5,4,No
119,Female,23-07-1963,12,Marketing,25200,14100,7.5,4.58,No
120,Female,12-11-1964,16,Finance,37800,15750,7.5,0.58,No
121,Female,06-08-1936,15,IT,18750,10500,7.5,4.5,No
122,Female,26-09-1965,15,Finance,32550,13500,7.5,1.83,No
123,Female,24-04-1949,12,IT,33300,15000,7.5,0.25,No
124,Female,29-05-1963,16,Marketing,38550,16500,7.5,,No
125,Male,06-08-1956,12,Finance,27450,15000,7.5,14.42,Yes
126,Male,21-01-1951,15,Engineering,24300,15000,7.5,15.92,Yes
127,Male,01-09-1950,12,Marketing,30750,15000,7.5,17.42,Yes
128,Female,25-07-1946,12,IT,19650,9750,7.5,19.08,Yes
129,Male,18-07-1959,17,Engineering,68750,27510,7.42,3.17,No
130,Male,06-09-1958,20,Finance,59375,30000,7.42,0.5,No
131,Male,08-02-1962,15,IT,31500,15750,7.42,1.83,No
132,Male,17-05-1953,12,Engineering,27300,17250,7.42,14.58,No
133,Male,12-09-1959,15,Human Resources,27000,15750,7.42,7.25,No
134,Female,10-11-1941,16,Sales,41550,24990,7.42,23.75,No
135,Female,22-05-1968,12,Engineering,26250,10950,7.42,,No
136,Male,25-08-1939,12,IT,22200,15000,7.33,27,No
137,Male,12-07-1937,21,Human Resources,65000,37500,7.33,22,No
138,Male,09-01-1947,12,Sales,30900,15000,7.33,21,No
139,Female,18-06-1931,18,Engineering,20100,13200,7.33,7.5,No
140,Female,05-04-1965,12,Engineering,22350,13500,7.33,2.17,No
141,Female,14-06-1966,15,Marketing,35550,13350,7.33,2.67,No
142,Female,13-11-1966,12,Engineering,28500,13950,7.33,2.83,No
143,Female,24-08-1939,12,Human Resources,24450,13200,7.33,8.92,No
144,Female,28-08-1931,18,IT,16650,9750,7.33,34.33,No
145,Male,15-01-1964,12,IT,26700,13500,7.33,3.17,Yes
146,Male,02-01-1951,18,Human Resources,43950,23250,7.33,15.17,Yes
147,Male,11-09-1936,15,Sales,23700,13500,7.33,29.92,Yes
148,Female,05-10-1959,15,Engineering,26550,14250,7.33,5.08,Yes
149,Male,28-06-1962,12,IT,27600,15000,7.25,6.25,No
150,Male,05-03-1954,12,IT,25800,15000,7.25,11.92,No
151,Male,16-08-1954,16,Engineering,42300,26250,7.25,10.5,No
152,Male,03-05-1929,18,Sales,30750,15000,7.25,37.58,No
153,Female,13-05-1967,12,Finance,26700,12900,7.25,1.5,No
154,Female,07-06-1940,12,IT,20850,12000,7.25,13.58,No
155,Male,06-03-1963,15,IT,35250,15000,7.25,4.5,Yes
156,Male,12-01-1963,15,IT,26700,15000,7.25,4.67,Yes
157,Female,02-07-1967,12,IT,26550,13050,7.25,0.92,Yes
158,Female,20-09-1964,12,Finance,27750,12000,7.25,0.92,Yes
159,Female,13-01-1951,16,Accounting,25050,12750,7.25,10.25,Yes
160,Male,27-08-1951,16,Human Resources,66000,47490,7.17,12.5,No
161,Male,11-02-1963,16,Engineering,52650,19500,7.17,1.67,No
162,Male,25-05-1961,16,Engineering,45625,23250,7.17,5,No
163,Male,10-11-1965,15,Sales,30900,15000,7.17,2.08,No
164,Female,13-08-1965,15,IT,29400,16500,7.17,2,No
165,Female,29-04-1966,15,Marketing,33300,13500,7.17,2,No
166,Female,12-07-1942,12,Engineering,21900,9750,7.17,13,No
167,Female,26-08-1932,12,Finance,18150,9750,7.17,6,No
168,Female,23-04-1962,16,Sales,46875,17250,7.17,1.58,No
169,Male,23-05-1965,12,Accounting,25500,14400,7.17,3.08,Yes
170,Male,13-06-1964,12,Sales,26550,15000,7.17,3.17,Yes
171,Male,21-01-1930,12,Human Resources,26700,13500,7.17,30.58,Yes
172,Female,13-06-1953,15,IT,29850,15000,7.17,6.58,Yes
173,Male,15-01-1950,20,Human Resources,69250,42480,7.08,11.17,No
174,Male,07-01-1935,18,Accounting,31950,15000,7.08,36.5,No
175,Male,08-01-1938,18,IT,26250,15600,7.08,14.25,No
176,Female,05-10-1962,16,Marketing,35700,17250,7.08,1.58,No
177,Female,11-08-1962,12,Marketing,28500,16500,7.08,5.75,No
178,Female,17-01-1938,12,Finance,17100,10200,7.08,6,No
179,Male,19-01-1965,12,Finance,25200,13050,7.08,2.42,Yes
180,Female,23-01-1960,12,Marketing,24000,12750,7.08,4.92,Yes
181,Female,04-01-1939,12,IT,27450,10200,7.08,8.42,Yes
182,Female,08-03-1943,12,Marketing,18450,10200,7.08,19,Yes
183,Male,01-03-1960,15,Marketing,39300,15750,7,6,No
184,Male,05-11-1964,15,IT,38850,15000,7,4.42,No
185,Male,28-08-1930,18,IT,30750,15000,7,31.67,No
186,Male,06-07-1964,15,IT,37500,20400,7,2.75,No
187,Male,29-07-1963,16,IT,58750,21750,7,1.08,No
188,Female,04-02-1934,12,Marketing,34500,18750,7,17.33,No
189,Female,28-03-1950,12,Human Resources,36000,19980,7,20,No
190,Female,15-11-1932,18,Human Resources,29100,16500,7,2.92,No
191,Female,23-10-1931,12,Sales,16500,10200,7,24,No
192,Male,09-10-1949,12,Sales,19650,12750,7,15,Yes
193,Female,22-07-1966,12,Engineering,24750,12000,7,3.42,Yes
194,Female,10-04-1938,15,Sales,27150,15750,7,19.25,Yes
195,Female,06-11-1955,12,IT,26400,12750,7,3,Yes
196,Female,03-03-1946,16,Sales,23100,12000,7,17.83,Yes
197,Male,01-10-1962,15,Marketing,54900,25500,6.92,4.08,No
198,Male,17-03-1952,19,Sales,70875,43500,6.92,13,No
199,Male,02-02-1958,16,IT,51250,27480,6.92,5.75,No
200,Male,13-02-1963,17,Marketing,67500,34980,6.92,0.75,No
201,Male,08-05-1955,12,IT,29340,19500,6.92,12.5,No
202,Male,17-03-1963,15,Sales,39600,16500,6.92,3.92,No
203,Male,17-03-1964,12,Engineering,29100,15000,6.92,4.17,No
204,Male,21-10-1960,15,Engineering,33150,16500,6.92,5.75,No
205,Male,22-06-1944,16,Engineering,66750,52500,6.92,21.5,No
206,Male,22-05-1943,12,IT,33750,15000,6.92,23.67,No
207,Male,15-02-1959,15,Engineering,27300,17250,6.92,7.58,No
208,Female,28-11-1968,12,Human Resources,24000,11250,6.92,1.33,No
209,Female,14-01-1934,18,Sales,19800,10200,6.92,6.25,No
210,Male,04-05-1949,15,Accounting,30600,16500,6.92,18,Yes
211,Male,08-11-1950,15,Sales,28950,15000,6.92,9,Yes
212,Male,14-05-1965,15,Sales,38400,16500,6.92,5.33,Yes
213,Male,20-10-1945,18,Accounting,30750,15000,6.92,25.17,Yes
214,Female,13-09-1968,12,IT,20400,10950,6.92,0.75,Yes
215,Female,15-09-1968,12,Engineering,19200,11100,6.92,0.58,Yes
216,Male,16-05-1964,15,Engineering,30150,15750,6.83,6,No
217,Male,15-03-1949,16,Finance,34620,27750,6.83,12.42,No
218,Male,21-03-1964,15,Marketing,80000,15750,6.83,2.83,No
219,Male,02-02-1963,12,Finance,25350,15000,6.83,2.67,No
220,Male,17-08-1963,12,Sales,29850,15750,6.83,7.08,No
221,Female,22-05-1947,12,Engineering,24000,13800,6.83,8.08,No
222,Female,15-09-1935,15,IT,27750,19500,6.83,22.08,No
223,Female,14-03-1942,18,Finance,22350,10200,6.83,4,No
224,Female,20-11-1934,12,Sales,16200,10200,6.83,,No
225,Female,13-10-1967,15,IT,21900,12750,6.83,,No
226,Female,21-06-1964,16,Sales,23250,15750,6.83,0.33,No
227,Female,17-07-1965,12,Human Resources,33900,12000,6.83,0.92,No
228,Female,21-09-1963,15,Engineering,25650,14250,6.83,4.25,No
229,Female,21-08-1940,12,Engineering,17250,10200,6.83,29.83,No
230,Male,04-02-1934,15,Finance,22500,15000,6.83,30.92,Yes
231,Male,09-01-1965,16,Human Resources,40200,21000,6.75,0.25,No
232,Male,13-09-1963,19,Accounting,55500,33750,6.75,5.17,No
233,Male,21-07-1963,15,Accounting,26550,15000,6.75,4.33,No
234,Male,12-11-1960,15,Finance,50550,19500,6.75,3.67,No
235,Male,11-09-1962,19,Accounting,75000,31500,6.75,1.08,No
236,Female,02-05-1969,18,Engineering,27450,12000,6.75,0.75,No
237,Female,04-06-1969,12,Marketing,22650,11250,6.75,,No
238,Female,15-06-1969,12,Sales,27300,11250,6.75,0.42,No
239,Female,14-09-1969,12,Accounting,27750,11225,6.75,0.42,No
240,Female,15-06-1961,16,Human Resources,54375,18750,6.75,6.75,No
241,Female,27-08-1936,18,Sales,17400,10200,6.75,32.5,No
242,Female,03-11-1967,12,Engineering,40800,18000,6.75,0.33,No
243,Female,10-02-1969,12,Engineering,23100,10950,6.75,,No
244,Female,15-09-1969,18,IT,22500,10950,6.75,0.42,No
245,Female,16-03-1969,12,Sales,26700,11550,6.75,1.5,No
246,Female,14-01-1968,12,Finance,24900,11250,6.75,,No
247,Female,13-05-1968,12,Marketing,19650,10950,6.75,0.92,No
248,Female,09-04-1969,12,Accounting,22050,10950,6.75,0.75,No
249,Female,09-05-1969,12,Sales,25500,12000,6.75,0.92,No
250,Female,10-10-1966,15,Finance,28200,12750,6.75,1.58,No
251,Female,19-01-1969,12,Engineering,23100,11250,6.75,1.08,No
252,Male,18-09-1969,12,Accounting,25500,11400,6.75,0.75,Yes
253,Female,21-02-1942,18,Engineering,17100,10200,6.75,,Yes
254,Male,08-02-1964,18,IT,68125,32490,6.67,2.42,No
255,Male,15-08-1932,12,IT,30600,15750,6.67,38.33,No
256,Male,03-01-1948,19,Human Resources,52125,27480,6.67,18.42,No
257,Male,24-09-1951,19,Engineering,61875,36750,6.67,16.58,No
258,Male,09-03-1969,18,Human Resources,21300,11550,6.67,2,No
259,Female,15-03-1969,12,IT,19650,11250,6.67,0.42,No
260,Female,20-02-1969,12,Engineering,22350,11250,6.67,0.42,No
261,Female,27-03-1969,12,Finance,23400,11250,6.67,1.5,No
262,Female,20-06-1968,12,Human Resources,24300,10950,6.67,0.67,No
263,Female,13-10-1968,12,Human Resources,28500,11250,6.67,0.33,No
264,Female,16-01-1969,12,Human Resources,19950,11250,6.67,0.67,No
265,Female,24-09-1969,12,IT,23400,11250,6.67,,No
266,Female,07-10-1963,16,IT,34500,17250,6.67,0.25,No
267,Female,24-08-1969,12,IT,18150,10950,6.67,,No
268,Male,16-05-1936,12,Sales,22350,15000,6.67,22.67,Yes
269,Male,17-03-1966,15,Engineering,40200,17250,6.58,3.17,No
270,Male,29-10-1947,15,IT,28650,18000,6.58,21.75,No
271,Male,24-08-1963,15,Accounting,27750,16500,6.58,4.58,No
272,Male,17-06-1964,18,Engineering,66875,31980,6.58,2.5,No
273,Male,12-11-1939,12,Sales,30000,15750,6.58,25.67,No
274,Male,04-08-1964,16,Human Resources,83750,21750,6.58,1,No
275,Male,14-01-1963,12,Accounting,33900,16500,6.58,7.83,No
276,Male,11-05-1965,16,Finance,56500,21000,6.58,1,No
277,Female,20-05-1965,16,Engineering,43000,17490,6.58,1.67,No
278,Female,12-06-1943,18,Accounting,20850,12000,6.58,5.83,No
279,Female,16-04-1969,12,Marketing,24450,12000,6.58,0.67,No
280,Female,20-10-1969,12,Sales,24750,10950,6.58,0.42,No
281,Male,18-02-1945,18,IT,34500,15750,6.58,20.5,Yes
282,Male,15-09-1963,14,IT,27900,15000,6.58,3.92,Yes
283,Male,25-02-1963,19,Engineering,68125,32010,6.5,2.92,No
284,Male,10-10-1961,19,Finance,73500,33000,6.5,3.75,No
285,Male,28-05-1930,18,Engineering,30750,15750,6.5,35.75,No
286,Male,07-03-1958,15,Marketing,40050,25500,6.5,11.08,No
287,Male,18-01-1965,16,Human Resources,40350,19500,6.5,1.67,No
288,Male,22-01-1955,15,Accounting,38700,23730,6.5,14.67,No
289,Male,27-10-1964,17,Marketing,65000,30750,6.5,2.17,No
290,Male,05-04-1954,18,IT,51450,36240,6.5,12.42,No
291,Male,23-09-1934,12,Engineering,35250,15750,6.5,32.25,No
292,Male,07-05-1963,14,Marketing,25950,15000,6.5,4.42,No
293,Male,19-09-1965,15,Finance,25050,14250,6.5,2,
294,Male,10-10-1968,12,Accounting,26700,12750,6.5,2.08,No
295,Male,20-08-1932,18,Engineering,24000,15750,6.5,39.67,No
296,Male,12-02-1964,12,Human Resources,26850,15000,6.5,4,No
297,Female,16-04-1942,12,Accounting,23400,15300,6.5,17.42,No
298,Female,24-08-1966,12,Human Resources,24600,13500,6.5,3.92,No
299,Female,11-05-1965,15,IT,32550,18000,6.5,0.5,No
300,Male,26-05-1960,16,Sales,26550,15000,6.5,8.75,
301,Male,04-08-1968,12,Engineering,31500,13500,6.5,0.58,Yes
302,Male,28-09-1939,18,Accounting,22350,15000,6.5,26.67,Yes
303,Male,10-02-1938,12,Finance,35250,15750,6.5,23.42,Yes
304,Female,28-09-1945,15,Engineering,25800,13500,6.5,4.25,Yes
305,Male,25-10-1941,12,Human Resources,30750,15750,6.42,26.42,No
306,Male,05-04-1966,15,Finance,30750,16500,6.42,3.42,No
307,Male,24-07-1945,16,Human Resources,50000,32490,6.42,22,No
308,Male,01-02-1963,15,Sales,34500,18000,6.42,5.25,No
309,Male,19-07-1964,15,Marketing,26250,15750,6.42,3.17,No
310,Male,23-03-1964,16,IT,44875,21240,6.42,1.83,No
311,Female,15-02-1951,12,Human Resources,22500,12000,6.42,5.25,No
312,Female,12-03-1963,12,Accounting,25650,14250,6.42,5.33,No
313,Female,25-10-1969,12,Sales,21300,11250,6.42,,No
314,Female,24-11-1966,12,IT,29850,13500,6.42,3.17,No
315,Female,19-09-1969,12,Human Resources,34500,12150,6.42,0.33,No
316,Male,14-01-1960,15,Sales,27750,15000,6.42,4.33,Yes
317,Male,27-02-1969,12,Accounting,27750,11550,6.42,1,Yes
318,Male,19-02-1961,16,Finance,48750,21990,6.33,5.08,No
319,Male,02-03-1966,15,IT,43410,15750,6.33,1,No
320,Male,10-11-1936,12,Sales,22050,15000,6.33,32.08,No
321,Female,26-10-1953,12,Engineering,22050,12000,6.33,0.5,No
322,Female,02-03-1938,12,Marketing,22500,14250,6.33,7.5,No
323,Female,13-05-1967,15,Engineering,25500,12000,6.33,0.58,No
324,Female,14-10-1966,12,IT,29160,15000,6.33,1.83,No
325,Female,04-11-1934,18,Engineering,16800,10200,6.33,6.33,No
326,Male,24-07-1958,18,Finance,29550,15750,6.33,12,Yes
327,Male,02-03-1965,12,Sales,26700,15750,6.33,1.5,Yes
328,Male,25-10-1952,18,Accounting,55000,32490,6.25,10.42,No
329,Male,24-08-1958,18,Human Resources,62500,34980,6.25,6.17,No
330,Male,09-05-1959,15,IT,27300,17250,6.25,11,No
331,Female,04-02-1942,12,IT,24450,12000,6.25,12,No
332,Female,10-05-1964,16,Sales,33000,18000,6.25,2.17,No
333,Female,26-01-1965,15,Human Resources,37050,18000,6.25,0.42,No
334,Female,09-05-1966,12,Engineering,24450,10950,6.25,2.67,Yes
335,Male,26-02-1930,18,IT,31950,15750,6.17,34,No
336,Male,10-01-1964,16,IT,47250,21240,6.17,3.75,No
337,Female,27-01-1970,12,IT,26100,11550,6.17,0.17,No
338,Female,12-08-1938,18,IT,15900,10200,6.17,3.58,No
339,Female,07-11-1942,18,Engineering,23700,10650,6.17,23.42,No
340,Female,06-05-1934,18,Engineering,21750,12450,6.17,26.5,No
341,Male,20-01-1945,12,Finance,59400,33750,6.17,22.67,Yes
342,Female,01-06-1948,12,IT,24450,14250,6.17,9.75,Yes
343,Male,09-06-1953,16,Finance,103500,60000,6.08,12.5,No
344,Male,13-10-1963,12,Engineering,35700,16500,6.08,6,No
345,Female,05-05-1969,12,IT,22200,16500,6.08,0.58,No
346,Female,16-08-1968,15,Accounting,22950,13950,6.08,1.83,No
347,Female,10-08-1944,12,Sales,23100,12000,6.08,19,No
348,Female,11-06-1962,16,IT,56750,30000,6.08,1.25,No
349,Female,22-03-1938,17,Accounting,29100,12750,6.08,31.25,No
350,Female,21-04-1939,12,Human Resources,37650,15750,6.08,11,No
351,Female,27-01-1966,12,Human Resources,27900,13500,6.08,2.67,No
352,Female,26-11-1933,18,Engineering,21150,12000,6.08,13.25,No
353,Male,10-03-1955,12,Marketing,31200,15750,6.08,12.92,Yes
354,Female,08-05-1946,12,IT,20550,11250,6.08,12.83,Yes
355,Male,19-05-1961,15,Human Resources,25950,17250,6,6.92,No
356,Male,10-11-1965,15,Finance,28350,15000,6,4,No
357,Female,18-01-1932,18,IT,17700,10200,6,15.33,No
358,Female,11-04-1944,15,Human Resources,23550,13500,6,4.08,No
359,Female,12-06-1941,12,Sales,19950,10200,6,4.67,No
360,Female,11-08-1968,12,Marketing,29400,15300,6,2.5,No
361,Female,09-06-1966,12,Sales,28800,13950,6,1.5,No
362,Female,08-04-1937,18,Human Resources,16950,10200,6,26.58,No
363,Male,03-06-1954,16,Finance,35700,18000,6,11.5,Yes
364,Female,26-03-1947,12,Engineering,17400,10200,6,9.67,Yes
365,Female,16-10-1948,18,Accounting,21450,10200,6,16.17,Yes
366,Female,21-03-1961,12,Engineering,24750,12000,6,5.67,Yes
367,Female,22-05-1942,12,Engineering,16950,10200,6,22.58,Yes
368,Female,20-07-1943,12,Finance,26100,13500,6,14.08,Yes
369,Male,14-11-1967,14,IT,28050,15000,5.92,1.25,No
370,Female,20-01-1963,16,Accounting,36600,18000,5.92,1,No
371,Female,05-04-1966,16,Marketing,58125,18000,5.92,0.92,No
372,Male,22-08-1935,15,IT,21300,15750,5.83,31,No
373,Male,29-10-1949,12,IT,22500,16500,5.83,18,No
374,Male,26-07-1967,15,Sales,29400,15750,5.83,1.25,No
375,Male,08-10-1966,12,Engineering,27450,14700,5.83,3.42,No
376,Male,09-10-1964,15,Engineering,29850,15750,5.83,4,No
377,Male,29-11-1965,15,Marketing,25350,15750,5.83,4.67,No
378,Female,21-09-1930,18,Sales,15750,10200,5.83,22.92,No
379,Female,12-05-1938,18,IT,19650,13050,5.83,8.5,No
380,Female,22-02-1941,12,Engineering,21000,13500,5.83,6.83,No
381,Male,15-07-1946,17,IT,27000,18000,5.83,16,Yes
382,Male,20-10-1959,12,IT,24000,15750,5.83,10,
383,Male,03-06-1961,17,Marketing,78500,28740,5.83,5.58,Yes
384,Female,11-11-1955,12,IT,20850,13050,5.83,10.58,Yes
385,Male,01-10-1930,12,Sales,30000,15750,5.75,29,No
386,Male,18-08-1934,18,Accounting,28500,15750,5.75,14.5,No
387,Male,03-02-1965,19,IT,65000,31980,5.75,6.17,No
388,Male,02-01-1959,14,IT,30150,16500,5.75,9.17,No
389,Male,15-04-1959,19,Finance,66875,32490,5.75,6.75,No
390,Female,09-11-1968,15,Accounting,24150,13500,5.75,0.58,No
391,Female,12-01-1969,12,Human Resources,24450,12450,5.75,1,No
392,Female,12-05-1970,12,Accounting,21600,12000,5.75,,No
393,Female,24-06-1969,12,Finance,27900,12450,5.75,,No
394,Female,04-02-1970,18,IT,29100,12450,5.75,1.42,No
395,Female,09-03-1970,12,IT,22650,11250,5.75,0.17,No
396,Female,17-08-1970,12,Human Resources,20850,11250,5.75,,No
397,Female,17-01-1970,12,Marketing,22950,12300,5.75,0.42,No
398,Female,21-11-1970,12,IT,30600,12450,5.75,0.42,No
399,Female,06-02-1970,12,IT,20400,11250,5.75,,No
400,Female,06-08-1969,12,IT,23850,12750,5.75,1.67,No
401,Female,14-03-1970,12,Finance,22800,11250,5.75,,No
402,Female,07-02-1970,12,Engineering,20700,11250,5.75,0.17,No
403,Female,28-04-1970,12,IT,21300,11250,5.75,0.25,Yes
404,Female,01-05-1953,12,Accounting,24300,15000,5.75,10.08,Yes
405,Female,12-07-1944,12,Marketing,19650,13950,5.75,11.08,Yes
406,Male,05-10-1965,17,IT,60000,32490,5.67,1.42,No
407,Male,06-09-1965,15,Marketing,30300,15750,5.67,4.58,No
408,Male,12-02-1964,19,Engineering,61250,33000,5.67,0.75,No
